audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
german_credit_lending,baseline,age,accuracy_equality_diff,-0.10915661761994318,1,3
german_credit_lending,baseline,age,demographic_parity_diff,-0.0781797396467161,1,3
german_credit_lending,baseline,age,disparate_impact_ratio,0.905829804459091,1,3
german_credit_lending,baseline,age,equal_opportunity_diff,-0.0974658869395711,1,3
german_credit_lending,baseline,age,equalized_odds_diff,-0.05331384015594539,1,3
german_credit_lending,baseline,age,predictive_parity_diff,-0.09208470599980038,0,3
german_credit_lending,in_processing,age,accuracy_equality_diff,-0.09897850057159718,1,3
german_credit_lending,in_processing,age,demographic_parity_diff,0.024560238964487224,0,3
german_credit_lending,in_processing,age,disparate_impact_ratio,1.0306997626748544,0,3
german_credit_lending,in_processing,age,equal_opportunity_diff,-0.013645224171540016,0,3
german_credit_lending,in_processing,age,equalized_odds_diff,0.162037037037037,0,3
german_credit_lending,in_processing,age,predictive_parity_diff,-0.11336464101719217,0,3
german_credit_lending,post_processing,age,accuracy_equality_diff,-0.04454770070435524,1,3
german_credit_lending,post_processing,age,demographic_parity_diff,0.05207065678356748,0,3
german_credit_lending,post_processing,age,disparate_impact_ratio,1.0712007358719464,0,3
german_credit_lending,post_processing,age,equal_opportunity_diff,0.04210526315789476,0,3
german_credit_lending,post_processing,age,equalized_odds_diff,0.15560428849902536,1,3
german_credit_lending,post_processing,age,predictive_parity_diff,-0.09622329519385531,1,3
german_credit_lending,unawareness,age,accuracy_equality_diff,-0.0623594055389608,0,3
german_credit_lending,unawareness,age,demographic_parity_diff,-0.041044363314525954,0,3
german_credit_lending,unawareness,age,disparate_impact_ratio,0.9486241227962614,0,3
german_credit_lending,unawareness,age,equal_opportunity_diff,-0.03586744639376216,0,3
german_credit_lending,unawareness,age,equalized_odds_diff,-0.03245614035087718,0,3
german_credit_lending,unawareness,age,predictive_parity_diff,-0.07305986498225008,0,3
german_credit_lending,unawareness_proxy_removal,age,accuracy_equality_diff,-0.05778662831434156,0,3
german_credit_lending,unawareness_proxy_removal,age,demographic_parity_diff,-0.03034996496662608,0,3
german_credit_lending,unawareness_proxy_removal,age,disparate_impact_ratio,0.9617410006310493,0,3
german_credit_lending,unawareness_proxy_removal,age,equal_opportunity_diff,-0.025341130604288515,0,3
german_credit_lending,unawareness_proxy_removal,age,equalized_odds_diff,0.011793372319688097,0,3
german_credit_lending,unawareness_proxy_removal,age,predictive_parity_diff,-0.0746467277608512,0,3
healthcare_readmission,baseline,age,accuracy_equality_diff,-0.021988479788666915,3,3
healthcare_readmission,baseline,age,demographic_parity_diff,-0.0030507287967264734,3,3
healthcare_readmission,baseline,age,disparate_impact_ratio,0.33726162418569067,3,3
healthcare_readmission,baseline,age,equal_opportunity_diff,-0.01793076474246767,3,3
healthcare_readmission,baseline,age,equalized_odds_diff,-0.01793076474246767,3,3
healthcare_readmission,baseline,age,predictive_parity_diff,-0.07226964769647698,0,3
healthcare_readmission,baseline,gender,accuracy_equality_diff,-0.009261171350386621,2,3
healthcare_readmission,baseline,gender,demographic_parity_diff,0.0010963113339932827,0,3
healthcare_readmission,baseline,gender,disparate_impact_ratio,1.5308473553302206,0,3
healthcare_readmission,baseline,gender,equal_opportunity_diff,0.003981123758232783,0,3
healthcare_readmission,baseline,gender,equalized_odds_diff,0.003981123758232783,0,3
healthcare_readmission,baseline,gender,predictive_parity_diff,-0.013869195320808233,0,3
healthcare_readmission,baseline,gender_x_age,intersectional_demographic_parity_diff,-0.0018599638946270062,2,3
healthcare_readmission,baseline,gender_x_race,intersectional_demographic_parity_diff,0.000385503426105755,0,3
healthcare_readmission,baseline,race,accuracy_equality_diff,0.012316661638037574,3,3
healthcare_readmission,baseline,race,demographic_parity_diff,-8.579402301384734e-05,0,3
healthcare_readmission,baseline,race,disparate_impact_ratio,0.9050301077424149,0,3
healthcare_readmission,baseline,race,equal_opportunity_diff,0.0017434389778180116,0,3
healthcare_readmission,baseline,race,equalized_odds_diff,0.0017434389778180116,0,3
healthcare_readmission,baseline,race,predictive_parity_diff,0.033665973665973646,0,3
healthcare_readmission,baseline,race_x_age,intersectional_demographic_parity_diff,-0.0031861823995588015,0,3
healthcare_readmission,in_processing,age,accuracy_equality_diff,-0.021369857140124553,3,3
healthcare_readmission,in_processing,age,demographic_parity_diff,-0.0007027663911694666,2,3
healthcare_readmission,in_processing,age,disparate_impact_ratio,0.2550095560925721,2,3
healthcare_readmission,in_processing,age,equal_opportunity_diff,-0.002390020582068594,1,3
healthcare_readmission,in_processing,age,equalized_odds_diff,-0.0024836796972887002,1,3
healthcare_readmission,in_processing,age,predictive_parity_diff,-0.042307692307692324,0,3
healthcare_readmission,in_processing,gender,accuracy_equality_diff,-0.009487223054340058,3,3
healthcare_readmission,in_processing,gender,demographic_parity_diff,0.00012017236072662738,1,3
healthcare_readmission,in_processing,gender,disparate_impact_ratio,344.60351843804364,1,3
healthcare_readmission,in_processing,gender,equal_opportunity_diff,-0.0003409608438943249,0,3
healthcare_readmission,in_processing,gender,equalized_odds_diff,-0.0003409608438943249,0,3
healthcare_readmission,in_processing,gender,predictive_parity_diff,-0.22916666666666666,0,3
